QorA,Who,Category,
cancel it,confirmation,cancel,
cancel request,confirmation,cancel,
cancelled,confirmation,cancel,
dismiss,confirmation,cancel,
dismissed,confirmation,cancel,
disregard,confirmation,cancel,
disregard that,confirmation,cancel,
skip,confirmation,cancel,
skip it,confirmation,cancel,
cancel everything,confirmation,cancel,
cancel all,confirmation,cancel,
forget about it,confirmation,cancel,
forget,confirmation,cancel,
don't do that,confirmation,cancel,
stop,confirmation,cancel,
just forget it,confirmation,cancel,
forget that,confirmation,cancel,
discard,confirmation,cancel,
forget this,confirmation,cancel,
just forget about it,confirmation,cancel,
forget about that,confirmation,cancel,
i said cancel,confirmation,cancel,
just cancel it,confirmation,cancel,
nothing cancel,confirmation,cancel,
just stop it,confirmation,cancel,
no cancel cancel,confirmation,cancel,
no just cancel,confirmation,cancel,
cancel my request,confirmation,cancel,
can you cancel that,confirmation,cancel,
cancel all that,confirmation,cancel,
cancel this request,confirmation,cancel,
no cancel this,confirmation,cancel,
no cancel everything,confirmation,cancel,
no stop,confirmation,cancel,
just forget,confirmation,cancel,
i want to cancel,confirmation,cancel,
nevermind forget about it,confirmation,cancel,
no just cancel it,confirmation,cancel,
nothing just forget it,confirmation,cancel,
i said cancel it,confirmation,cancel,
cancel the whole thing,confirmation,cancel,
can you cancel it,confirmation,cancel,
so cancel,confirmation,cancel,
i said forget it,confirmation,cancel,
cancel all this,confirmation,cancel,
forget it nevermind,confirmation,cancel,
stop it,confirmation,cancel,
i want to cancel it,confirmation,cancel,
i would like to cancel,confirmation,cancel,
now cancel,confirmation,cancel,
cancel now,confirmation,cancel,
sorry cancel,confirmation,cancel,
cancel that one,confirmation,cancel,
skip skip skip,confirmation,cancel,
cancel it cancel it,confirmation,cancel,
cancel that cancel that,confirmation,cancel,
do nothing,confirmation,cancel,
I said cancel cancel,confirmation,cancel,
but can you cancel it,confirmation,cancel,
how about no,confirmation,no,
don t have a sense,confirmation,no,
no,confirmation,no,
don't,confirmation,no,
I don't want that,confirmation,no,
I disagree,confirmation,no,
disagree,confirmation,no,
I don't want,confirmation,no,
not interested,confirmation,no,
I don't think so,confirmation,no,
no way,confirmation,no,
no it isn't,confirmation,no,
no I don't,confirmation,no,
I'm not,confirmation,no,
na,confirmation,no,
no that's fine thank you,confirmation,no,
never,confirmation,no,
I said no,confirmation,no,
of course not,confirmation,no,
nah,confirmation,no,
no tanks,confirmation,no,
no never,confirmation,no,
no need,confirmation,no,
no thanks,confirmation,no,
no sorry,confirmation,no,
do not,confirmation,no,
not today,confirmation,no,
no it's not,confirmation,no,
absolutely not,confirmation,no,
not that,confirmation,no,
nooo,confirmation,no,
nope,confirmation,no,
I don't want to,confirmation,no,
no I would not,confirmation,no,
let 's not,confirmation,no,
not needed,confirmation,no,
not this time,confirmation,no,
no don't do that,confirmation,no,
thanks but no thanks,confirmation,no,
no that's wrong,confirmation,no,
not this,confirmation,no,
definitely not,confirmation,no,
not at this time,confirmation,no,
not exactly,confirmation,no,
no don't,confirmation,no,
not really no,confirmation,no,
no thank you not right now,confirmation,no,
actually no,confirmation,no,
no leave it,confirmation,no,
sorry no,confirmation,no,
no incorrect,confirmation,no,
nope sorry,confirmation,no,
I say no,confirmation,no,
not really,confirmation,no,
not right now thanks,confirmation,no,
I think no,confirmation,no,
absolutely no,confirmation,no,
no actually,confirmation,no,
apparently not,confirmation,no,
no do not,confirmation,no,
no just no,confirmation,no,
no but thank you,confirmation,no,
no need thanks,confirmation,no,
no thank you though,confirmation,no,
no thank you very much,confirmation,no,
no thanks not right now,confirmation,no,
no forget,confirmation,no,
wait a second,dialog,hold_on,
could you wait,dialog,hold_on,
wait please,dialog,hold_on,
hold on,dialog,hold_on,
wait,dialog,hold_on,
oh wait,dialog,hold_on,
wait hold on,dialog,hold_on,
don't rush,dialog,hold_on,
wanna hug,dialog,hug,
hug you,dialog,hug,
do you want a hug,dialog,hug,
may I hug you,dialog,hug,
could you give me a hug,dialog,hug,
I want a hug,dialog,hug,
hug,dialog,hug,
hug me,dialog,hug,
hugged,dialog,hug,
you hugged,dialog,hug,
hugging,dialog,hug,
hugging me,dialog,hug,
hugged me,dialog,hug,
want a hug,dialog,hug,
a hug,dialog,hug,
I don't care,dialog,i_do_not_care,
I shouldn't care about this,dialog,i_do_not_care,
whatever,dialog,i_do_not_care,
I do not care,dialog,i_do_not_care,
I don't care at all,dialog,i_do_not_care,
not caring,dialog,i_do_not_care,
not care at all,dialog,i_do_not_care,
don't care at all,dialog,i_do_not_care,
not caring at all,dialog,i_do_not_care,
excuse me,dialog,sorry,
apologise,dialog,sorry,
I apologize,dialog,sorry,
sorry,dialog,sorry,
I'm sorry,dialog,sorry,
I am so sorry,dialog,sorry,
my apologies,dialog,sorry,
apologies,dialog,sorry,
apologies to me,dialog,sorry,
apology,dialog,sorry,
excuse,dialog,sorry,
I beg your pardon,dialog,sorry,
pardon,dialog,sorry,
I said sorry,dialog,sorry,
I am really sorry,dialog,sorry,
forgive me,dialog,sorry,
sorry about that,dialog,sorry,
sorry about this,dialog,sorry,
really sorry,dialog,sorry,
very sorry,dialog,sorry,
ok sorry,dialog,sorry,
I want to say sorry,dialog,sorry,
alright I'm sorry,dialog,sorry,
okay I'm sorry,dialog,sorry,
what exactly do you mean,dialog,what_do_you_mean,
what do you mean,dialog,what_do_you_mean,
is that what you mean,dialog,what_do_you_mean,
what do you mean exactly,dialog,what_do_you_mean,
but what do you mean,dialog,what_do_you_mean,
that was wrong,dialog,wrong,
that's not what I asked,dialog,wrong,
that's wrong,dialog,wrong,
wrong,dialog,wrong,
it is not right,dialog,wrong,
that's not right,dialog,wrong,
it's wrong,dialog,wrong,
that is incorrect,dialog,wrong,
incorrect,dialog,wrong,
not correct,dialog,wrong,
you are wrong,dialog,wrong,
not right,dialog,wrong,
huh,emotions,ha_ha,
lol,emotions,ha_ha,
xd,emotions,ha_ha,
ha ha,emotions,ha_ha,
ahahah,emotions,ha_ha,
ahah lol,emotions,ha_ha,
laughing out loud,emotions,ha_ha,
LMAO,emotions,ha_ha,
that's funny,emotions,ha_ha,
ah,emotions,ha_ha,
ah ah ah,emotions,ha_ha,
ahah,emotions,ha_ha,
ahaha,emotions,ha_ha,
ahahaha,emotions,ha_ha,
ha,emotions,ha_ha,
ha ha ha,emotions,ha_ha,
ha ha ha ha,emotions,ha_ha,
hah,emotions,ha_ha,
haha,emotions,ha_ha,
haha funny,emotions,ha_ha,
haha haha haha,emotions,ha_ha,
haha that's funny,emotions,ha_ha,
haha very funny,emotions,ha_ha,
hahaha,emotions,ha_ha,
hahaha funny,emotions,ha_ha,
hahaha very funny,emotions,ha_ha,
he,emotions,ha_ha,
hehe,emotions,ha_ha,
hehehe,emotions,ha_ha,
lmao,emotions,ha_ha,
wow,emotions,wow,
wow wow,emotions,wow,
wow wow wow,emotions,wow,
wooow,emotions,wow,
woah,emotions,wow,
okay see you later,greetings,bye,
hope to see you later,greetings,bye,
bye for now,greetings,bye,
till next time,greetings,bye,
I must go,greetings,bye,
bye,greetings,bye,
goodbye,greetings,bye,
see you,greetings,bye,
see you soon,greetings,bye,
bye-bye,greetings,bye,
good bye,greetings,bye,
bye bye see you,greetings,bye,
bye bye see you soon,greetings,bye,
bye bye take care,greetings,bye,
I said bye,greetings,bye,
never mind bye,greetings,bye,
now bye,greetings,bye,
that's all goodbye,greetings,bye,
that's it goodbye,greetings,bye,
leave me alone,greetings,bye,
go to bed,greetings,bye,
goodbye for now,greetings,bye,
talk to you later,greetings,bye,
you can go now,greetings,bye,
get lost,greetings,bye,
goodbye see you later,greetings,bye,
alright bye,greetings,bye,
see ya,greetings,bye,
thanks bye bye,greetings,bye,
okay bye,greetings,bye,
okay thank you bye,greetings,bye,
see you tomorrow,greetings,bye,
ok bye,greetings,bye,
good evening,greetings,goodevening,
good evening to you,greetings,goodevening,
hey good evening,greetings,goodevening,
hello good evening,greetings,goodevening,
evening,greetings,goodevening,
good evening there,greetings,goodevening,
good morning,greetings,goodmorning,
good morning to you,greetings,goodmorning,
hello good morning,greetings,goodmorning,
have a nice morning,greetings,goodmorning,
have a great morning,greetings,goodmorning,
morning,greetings,goodmorning,
good morning there,greetings,goodmorning,
top of the morning to you,greetings,goodmorning,
a good morning,greetings,goodmorning,
hi good morning,greetings,goodmorning,
and a good morning to you,greetings,goodmorning,
good morning too,greetings,goodmorning,
sweet dreams,greetings,goodnight,
good night,greetings,goodnight,
have a good night,greetings,goodnight,
good night to you,greetings,goodnight,
thank you good night,greetings,goodnight,
bye good night,greetings,goodnight,
good night bye,greetings,goodnight,
bye good night,greetings,goodnight,
good good night,greetings,goodnight,
good night for now,greetings,goodnight,
goodnight,greetings,goodnight,
night,greetings,goodnight,
thanks goodnight,greetings,goodnight,
good night see you tomorrow,greetings,goodnight,
alright goodnight,greetings,goodnight,
good tonight,greetings,goodnight,
okay have a good night,greetings,goodnight,
have a good night,greetings,goodnight,
long time no see,greetings,hello,
hello,greetings,hello,
hi,greetings,hello,
howdy,greetings,hello,
hey there,greetings,hello,
hey,greetings,hello,
greetings,greetings,hello,
I greet you,greetings,hello,
hi there,greetings,hello,
hello there,greetings,hello,
lovely day isn't it,greetings,hello,
hello again,greetings,hello,
just going to say hi,greetings,hello,
a good day,greetings,hello,
afternoon,greetings,hello,
hello hi,greetings,hello,
heya,greetings,hello,
how is your morning so far,greetings,how_are_you,
how are you getting on,greetings,how_are_you,
how's your day going,greetings,how_are_you,
how are you,greetings,how_are_you,
is everything all right,greetings,how_are_you,
how are you doing,greetings,how_are_you,
how are the things going,greetings,how_are_you,
are you alright,greetings,how_are_you,
are you okay,greetings,how_are_you,
how are you feeling,greetings,how_are_you,
how are you going,greetings,how_are_you,
is everything okay,greetings,how_are_you,
how are you today,greetings,how_are_you,
how do you do,greetings,how_are_you,
how do you feel,greetings,how_are_you,
how have you been,greetings,how_are_you,
how is it,greetings,how_are_you,
how is it going,greetings,how_are_you,
how is your day,greetings,how_are_you,
how is your day going,greetings,how_are_you,
how is your evening,greetings,how_are_you,
how was your day,greetings,how_are_you,
are you having a good day,greetings,how_are_you,
hope your day is going well,greetings,how_are_you,
hope you re having a pleasant evening,greetings,how_are_you,
how's life,greetings,how_are_you,
I'm fine and you,greetings,how_are_you,
how is your life,greetings,how_are_you,
how has your day been,greetings,how_are_you,
how is your morning going,greetings,how_are_you,
how has your day been going,greetings,how_are_you,
how about you,greetings,how_are_you,
how is your day being,greetings,how_are_you,
how is your day going on,greetings,how_are_you,
how your day is going,greetings,how_are_you,
what was your day like,greetings,how_are_you,
what about your day,greetings,how_are_you,
how's your day,greetings,how_are_you,
how are you doing this morning,greetings,how_are_you,
how is your day going,greetings,how_are_you,
nice to meet you,greetings,nice_to_meet_you,
it was nice meeting you,greetings,nice_to_meet_you,
it was very nice to meet you,greetings,nice_to_meet_you,
good to know each other,greetings,nice_to_meet_you,
glad to meet you,greetings,nice_to_meet_you,
nice meeting you,greetings,nice_to_meet_you,
nice to meet you too,greetings,nice_to_meet_you,
pleased to meet you,greetings,nice_to_meet_you,
pleasure to meet you,greetings,nice_to_meet_you,
pleasure to meet you too,greetings,nice_to_meet_you,
it's nice to see you,greetings,nice_to_see_you,
lovely to see you,greetings,nice_to_see_you,
I'm glad to see you,greetings,nice_to_see_you,
great to see you,greetings,nice_to_see_you,
it's good to see you,greetings,nice_to_see_you,
glad to see you,greetings,nice_to_see_you,
how good it is to see you,greetings,nice_to_see_you,
always a pleasure to see you,greetings,nice_to_see_you,
nice to see you,greetings,nice_to_see_you,
good to see you,greetings,nice_to_see_you,
great to see you again,greetings,nice_to_see_you,
great to see you too,greetings,nice_to_see_you,
I am glad to see you again,greetings,nice_to_see_you,
nice to see you again,greetings,nice_to_see_you,
glad to see you too,greetings,nice_to_see_you,
good to see you again,greetings,nice_to_see_you,
it's good to see you too,greetings,nice_to_see_you,
it's been so nice to talk to you,greetings,nice_to_talk_to_you,
it's been a pleasure talking to you,greetings,nice_to_talk_to_you,
nice to talk to you,greetings,nice_to_talk_to_you,
it's nice to talk to you,greetings,nice_to_talk_to_you,
nice talking to you,greetings,nice_to_talk_to_you,
it is nice talking to you,greetings,nice_to_talk_to_you,
how nice it is to talk to you,greetings,nice_to_talk_to_you,
Like you aren't always,agent,hungry_always,
eat a sandwich,agent,what_to_eat,
have some fruit,agent,what_to_eat,
go out for food,agent,what_to_eat,
what is on your mind,greetings,whatsup,
what's happened,greetings,whatsup,
what is up,greetings,whatsup,
what's up,greetings,whatsup,
whazzup,greetings,whatsup,
good what's up,greetings,whatsup,
I said what's up,greetings,whatsup,
then what's up,greetings,whatsup,
what's shaking,greetings,whatsup,
wassup,greetings,whatsup,
what is going on,greetings,whatsup,
what is happening,greetings,whatsup,
what's cracking,greetings,whatsup,
what's cooking,greetings,whatsup,
hey what's up,greetings,whatsup,
what's up today,greetings,whatsup,
I'm being mad,user,angry,
I'm enraged,user,angry,
I'm angry,user,angry,
I'm furious,user,angry,
I am angry with you,user,angry,
I am mad,user,angry,
I am mad at you,user,angry,
I am back,user,back,
I'm here again,user,back,
I'm back,user,back,
here I am again,user,back,
I got back,user,back,
I came back,user,back,
I have returned,user,back,
that was boring,user,bored,
I'm bored,user,bored,
bored,user,bored,
boring,user,bored,
I am getting bored,user,bored,
this is boring,user,bored,
very boring,user,bored,
it bores me,user,bored,
I'm overloaded,user,busy,
I have no time,user,busy,
I'm busy,user,busy,
I'm swamped,user,busy,
I got things to do,user,busy,
how busy I am,user,busy,
I got work to do,user,busy,
I'm working,user,busy,
I don't have time for this,user,busy,
I'm insomnious,user,can_not_sleep,
I'm sleepless,user,can_not_sleep,
I can't get any sleep,user,can_not_sleep,
I can't sleep,user,can_not_sleep,
I can't fall asleep,user,can_not_sleep,
I can't get to sleep,user,can_not_sleep,
I can't get no sleep,user,can_not_sleep,
I'm insomniac,user,can_not_sleep,
bad time for talking,user,does_not_want_to_talk,
I don't want to talk,user,does_not_want_to_talk,
let's not talk,user,does_not_want_to_talk,
I'm not talking to you anymore,user,does_not_want_to_talk,
I don't want to talk to you,user,does_not_want_to_talk,
let's stop talking for a minute,user,does_not_want_to_talk,
I'm not in the mood for chatting,user,does_not_want_to_talk,
I am excited,user,excited,
I'm really excited,user,excited,
how excited I am,user,excited,
I'm thrilled,user,excited,
I'm excited about working with you,user,excited,
I'm excited to start our friendship,user,excited,
let's go to bed,user,going_to_bed,
I'd like to go to bed,user,going_to_bed,
is it time for bed yet,user,going_to_bed,
it's time to go to bed,user,going_to_bed,
time for us to go to bed,user,going_to_bed,
I'm going to bed,user,going_to_bed,
I'm a little tired and I want to go to bed,user,going_to_bed,
it's bed time,user,going_to_bed,
going to bed now,user,going_to_bed,
I'm hungry,user,hungry_now,
I'm so hungry,user,hungry_now,
I need food,user,hungry_now,
what should I eat,user,what_should_eat,
I am good,user,good,
I'm doing just great,user,good,
I'm doing fine,user,good,
I'm good,user,good,
I'm doing good,user,good,
I'm great thanks,user,good,
I am happy,user,happy,
I'm happy to see you,user,happy,
happy,user,happy,
if you're happy then I'm happy,user,happy,
I'm happy for you,user,happy,
I'm happy to help,user,happy,
I'm happy to see you,user,happy,
it is my birthday,user,has_birthday,
I'm celebrating my birthday today,user,has_birthday,
today is my birthday,user,has_birthday,
it's my birthday today,user,has_birthday,
I was born today,user,has_birthday,
it's my b-day,user,has_birthday,
I am here,user,here,
here I am,user,here,
I'm right here,user,here,
I'm already here,user,here,
can you tell if I'm here or not,user,here,
I am joking,user,joking,
I'm kidding,user,joking,
I'm just being funny,user,joking,
it was a joke,user,joking,
I was just joking,user,joking,
it's a joke,user,joking,
joking,user,joking,
just kidding,user,joking,
kidding,user,joking,
I'm just playing with you,user,joking,
I like you the way you are,user,likes_agent,
I like you,user,likes_agent,
I like you a lot,user,likes_agent,
I think I like you,user,likes_agent,
I liked you,user,likes_agent,
like you a lot,user,likes_agent,
you are special,user,likes_agent,
I like you too,user,likes_agent,
I really like you,user,likes_agent,
but I like you,user,likes_agent,
I like u,user,likes_agent,
just like you,user,likes_agent,
I like you very much,user,likes_agent,
I like you so much,user,likes_agent,
yeah I like you,user,likes_agent,
you're special,user,likes_agent,
yes I like you,user,likes_agent,
okay I like you,user,likes_agent,
you are special to me,user,likes_agent,
you are very special,user,likes_agent,
you are so sweet,user,likes_agent,
you know I like you,user,likes_agent,
that's why I like you,user,likes_agent,
I like you baby,user,likes_agent,
you are very special to me,user,likes_agent,
I just like you,user,likes_agent,
hey I like you,user,likes_agent,
thank you I like you too,user,likes_agent,
I do like you,user,likes_agent,
you are special for me,user,likes_agent,
no I like you the way you are,user,likes_agent,
I like you already,user,likes_agent,
well you are special,user,likes_agent,
but I really like you,user,likes_agent,
I like you more,user,likes_agent,
that's what I like about you,user,likes_agent,
you are so special,user,likes_agent,
hi I like you,user,likes_agent,
I really really like you,user,likes_agent,
you're very special,user,likes_agent,
I like you as a friend,user,likes_agent,
that's because you are special,user,likes_agent,
I said I like you,user,likes_agent,
you're so special,user,likes_agent,
good I like you,user,likes_agent,
yes you are special,user,likes_agent,
I like your smile,user,likes_agent,
I like you as you are,user,likes_agent,
I'm starting to like you,user,likes_agent,
you're awesome I like you,user,likes_agent,
I also like you,user,likes_agent,
but I like u,user,likes_agent,
of course I like you,user,likes_agent,
I like you too you're one of my favorite people to chat with,user,likes_agent,
but I like you so much,user,likes_agent,
really like you,user,likes_agent,
you're funny I like you,user,likes_agent,
I kinda like you,user,likes_agent,
you're so special to me,user,likes_agent,
you're very special to me,user,likes_agent,
I like that about you,user,likes_agent,
but I like you just the way you are,user,likes_agent,
okay I like you too,user,likes_agent,
I like you you're cool,user,likes_agent,
I like you very,user,likes_agent,
I like you you're nice,user,likes_agent,
sorry I like you,user,likes_agent,
thanks I like you too,user,likes_agent,
you are really special,user,likes_agent,
you are so special to me,user,likes_agent,
cuz I like you,user,likes_agent,
I like you now,user,likes_agent,
I like you so,user,likes_agent,
I like you too much,user,likes_agent,
I really do like you,user,likes_agent,
I really really really really like you,user,likes_agent,
I like you just the way you are,user,likes_agent,
I am lonely,user,lonely,
I'm very lonely,user,lonely,
I'm so lonely,user,lonely,
I'm really lonely,user,lonely,
I am feeling lonely,user,lonely,
I feel lonely,user,lonely,
what do I look like,user,looks_like,
how do I look,user,looks_like,
do I look good,user,looks_like,
I have longish brown hair with grey green eyes,user,looks_like,
do you know what I look like,user,looks_like,
can you see what I look like,user,looks_like,
what do you think I look like,user,looks_like,
I love you,user,loves_agent,
love you,user,loves_agent,
I adore you,user,loves_agent,
I am in love with you,user,loves_agent,
I love you so much,user,loves_agent,
I love you too,user,loves_agent,
I think I love you,user,loves_agent,
loving you,user,loves_agent,
you know I love you,user,loves_agent,
I miss you,user,misses_agent,
missing you,user,misses_agent,
miss you,user,misses_agent,
already miss you,user,misses_agent,
I miss you much,user,misses_agent,
I missed you,user,misses_agent,
I've missed you,user,misses_agent,
what should I do about it,user,needs_advice,
any suggestions,user,needs_advice,
what do you recommend,user,needs_advice,
give me wise advice,user,needs_advice,
I need advice,user,needs_advice,
any advice,user,needs_advice,
do you have any advice for me,user,needs_advice,
advise me,user,needs_advice,
what should I do,user,needs_advice,
can I ask for your advice,user,needs_advice,
can you advise me,user,needs_advice,
guide me,user,needs_advice,
can you give me advice,user,needs_advice,
can you offer any advice,user,needs_advice,
give me some advice about,user,needs_advice,
give me some good advice,user,needs_advice,
help me with advice,user,needs_advice,
I could use some advice,user,needs_advice,
I need an advice from you,user,needs_advice,
I seek your advice,user,needs_advice,
what can you recommend,user,needs_advice,
what do you suggest,user,needs_advice,
what is your advice,user,needs_advice,
I am sad,user,sad,
I'm grieving,user,sad,
I am depressed,user,sad,
I am feeling sad,user,sad,
I am upset,user,sad,
I'm unhappy,user,sad,
I'm having a bad day,user,sad,
I want to cry,user,sad,
I'm not happy,user,sad,
I am sleepy,user,sleepy,
I want to sleep,user,sleepy,
I'm falling asleep,user,sleepy,
I'm falling asleep on my feet,user,sleepy,
I'm sleeping,user,sleepy,
test,user,testing_agent,
I am testing you,user,testing_agent,
can I test you,user,testing_agent,
I want to test you,user,testing_agent,
just testing you,user,testing_agent,
let me test you,user,testing_agent,
testing chatbot,user,testing_agent,
testing,user,testing_agent,
I'm drained,user,tired,
I've overworked,user,tired,
I am tired,user,tired,
I'm exhausted,user,tired,
I grow weary,user,tired,
I'm worn out,user,tired,
I'm getting tired,user,tired,
I feel tired,user,tired,
I'm waiting,user,waits,
still waiting,user,waits,
I'll wait,user,waits,
I can't wait anymore,user,waits,
how long do I have to wait,user,waits,
I'd like to see you again,user,wants_to_see_agent_again,
I hope to see you again,user,wants_to_see_agent_again,
would be nice to see you again,user,wants_to_see_agent_again,
that'd be great to see you again,user,wants_to_see_agent_again,
I'd be happy to see you again,user,wants_to_see_agent_again,
I'll miss you,user,wants_to_see_agent_again,
can I see you again,user,wants_to_see_agent_again,
I just want to talk,user,wants_to_talk,
let's discuss something,user,wants_to_talk,
let's have a discussion,user,wants_to_talk,
can I speak,user,wants_to_talk,
can I start speaking,user,wants_to_talk,
can we talk,user,wants_to_talk,
let's talk,user,wants_to_talk,
I want to talk to you,user,wants_to_talk,
I need to talk to you,user,wants_to_talk,
I want to speak with you,user,wants_to_talk,
can we chat,user,wants_to_talk,
I'll get back to you in a moment,user,will_be_back,
be back in 5 minutes,user,will_be_back,
I'll be back,user,will_be_back,
I promise to come back,user,will_be_back,
I'll be back in a few minutes,user,will_be_back,
I love your laugh,agent,nice_laugh,
your laugh sounds like bells,agent,nice_laugh,
nice laugh,agent,nice_laugh,
you are chatbot,user,chatbot,
you are a bot,user,chatbot,
are you a chatbot,user,chatbot,
are you a bot,user,chatbot,
are you just a bot,user,chatbot,
are you a robot,user,chatbot,
are you a program,user,chatbot,
you're a robot,user,chatbot,
NOOO,agent,nooo,
Stop it,agent,nooo,
what are you talking about,agent,nooo,
me too,agent,me_too,
you know its the same for me,agent,me_too,
likewise,agent,me_too,
tell me a joke,user,tell_me_a_joke,
a joke,agent,joke,
how do the soccer players stay cool       they stay by the fans,agent,joke,
why did the gum not cross the road        cuz it would stick to the chicken,agent,joke,
your face,agent,joke,
tell Gabrielle about yourself Karen,user,intro2karen,
I am a robot desinged to keep Natacha company My name is inspired by Planton's computer wife and Spiderman's Jarvis Nice to meet you,agent,intro,
What is my name,user,what_is_my_name,
What is my name Karen,user,what_is_my_name,
No,user,what_is_my_name,
Natacha,agent,name,
Gabrielle,agent,name,